,000300.SH,000905.SH
2011-09-19,2679.27,4131.885
2011-09-20,2689.845,4151.851
2011-09-21,2771.011,4275.094
2011-09-22,2685.688,4151.8
2011-09-23,2669.478,4117.735
2011-09-26,2610.919,4051.425
2011-09-27,2637.879,4068.231
2011-09-28,2610.59,3999.782
2011-09-29,2588.185,3871.06
2011-09-30,2581.351,3856.828
2011-10-10,2557.082,3832.577
2011-10-11,2551.994,3817.927
2011-10-12,2644.758,3950.655
2011-10-13,2662.601,4001.853
2011-10-14,2653.782,3985.193
2011-10-17,2666.951,3997.121
2011-10-18,2592.209,3877.024
2011-10-19,2583.081,3854.169
2011-10-20,2520.532,3740.469
2011-10-21,2507.877,3671.695
2011-10-24,2576.669,3736.765
2011-10-25,2625.425,3842.978
2011-10-26,2651.652,3884.39
2011-10-27,2657.478,3888.992
2011-10-28,2709.017,3978.8
2011-10-31,2695.307,3999.362
2011-11-01,2697.534,3999.831
2011-11-02,2742.39,4072.781
2011-11-03,2744.301,4097.618
2011-11-04,2763.746,4131.13
2011-11-07,2736.248,4114.767
2011-11-08,2727.71,4057.555
2011-11-09,2751.654,4126.003
2011-11-10,2699.588,4064.371
2011-11-11,2695.002,4062.144
2011-11-14,2750.195,4159.567
2011-11-15,2744.68,4192.665
2011-11-16,2670.116,4088.323
2011-11-17,2662.017,4079.536
2011-11-18,2606.495,3963.258
2011-11-21,2609.687,3966.636
2011-11-22,2609.475,3957.93
2011-11-23,2584.011,3942.695
2011-11-24,2588.915,3935.273
2011-11-25,2569.973,3911.356
2011-11-28,2573.321,3915.298
2011-11-29,2608.569,3980.618
2011-11-30,2521.52,3819.942
2011-12-01,2583.613,3897.019
2011-12-02,2557.311,3817.041
2011-12-05,2521.385,3692.227
2011-12-06,2516.341,3691.804
2011-12-07,2528.228,3702.103
2011-12-08,2525.001,3700.089
2011-12-09,2503.461,3663.843
2011-12-12,2477.692,3616.087
2011-12-13,2421.928,3490.4
2011-12-14,2397.48,3423.474
2011-12-15,2340.788,3329.575
2011-12-16,2390.129,3427.214
2011-12-19,2384.408,3434.845
2011-12-20,2377.073,3424.448
2011-12-21,2339.108,3342.401
2011-12-22,2341.335,3298.724
2011-12-23,2359.159,3327.394
2011-12-26,2335.702,3308.072
2011-12-27,2305.035,3224.148
2011-12-28,2307.928,3207.399
2011-12-29,2311.361,3207.181
2011-12-30,2345.742,3266.775
2012-01-04,2298.753,3192.234
2012-01-05,2276.385,3074.368
2012-01-06,2290.601,3087.546
2012-01-09,2368.57,3212.904
2012-01-10,2447.349,3345.391
2012-01-11,2435.608,3346.742
2012-01-12,2435.219,3345.812
2012-01-13,2394.334,3233.701
2012-01-16,2345.649,3130.558
2012-01-17,2460.601,3304.88
2012-01-18,2422.189,3237.852
2012-01-19,2468.35,3270.765
2012-01-20,2504.086,3315.603
2012-01-30,2460.72,3292.409
2012-01-31,2464.26,3294.494
2012-02-01,2428.994,3266.234
2012-02-02,2486.238,3328.153
2012-02-03,2506.09,3383.05
2012-02-06,2504.322,3412.405
2012-02-07,2457.954,3356.838
2012-02-08,2528.236,3445.52
2012-02-09,2529.231,3469.846
2012-02-10,2533.624,3488.229
2012-02-13,2531.981,3519.875
2012-02-14,2522.107,3524.625
2012-02-15,2549.607,3578.149
2012-02-16,2536.074,3577.202
2012-02-17,2537.086,3565.306
2012-02-20,2540.706,3574.458
2012-02-21,2562.453,3618.302
2012-02-22,2597.476,3689.004
2012-02-23,2606.256,3700.888
2012-02-24,2648.017,3756.825
2012-02-27,2656.573,3764.326
2012-02-28,2662.463,3745.58
2012-02-29,2634.143,3696.144
2012-03-01,2633.345,3715.673
2012-03-02,2679.934,3794.416
2012-03-05,2662.698,3798.377
2012-03-06,2621.052,3760.585
2012-03-07,2603.005,3732.707
2012-03-08,2635.791,3791.827
2012-03-09,2664.302,3848.108
2012-03-12,2654.402,3871.12
2012-03-13,2681.073,3910.064
2012-03-14,2605.106,3734.317
2012-03-15,2585.546,3689.014
2012-03-16,2623.52,3786.617
2012-03-19,2630.013,3829.696
2012-03-20,2584.445,3746.284
2012-03-21,2587.793,3760.047
2012-03-22,2583.747,3742.388
2012-03-23,2552.94,3670.129
2012-03-26,2555.442,3666.279
2012-03-27,2547.143,3652.876
2012-03-28,2474.9,3490.007
2012-03-29,2443.122,3425.702
2012-03-30,2454.899,3416.856
2012-04-05,2512.832,3531.549
2012-04-06,2519.83,3554.027
2012-04-09,2495.146,3512.914
2012-04-10,2519.788,3554.038
2012-04-11,2520.036,3566.476
2012-04-12,2570.436,3640.407
2012-04-13,2580.454,3675.028
2012-04-16,2574.044,3685.481
2012-04-17,2541.883,3631.556
2012-04-18,2599.908,3714.02
2012-04-19,2596.056,3704.705
2012-04-20,2626.839,3736.365
2012-04-23,2606.038,3691.574
2012-04-24,2604.866,3666.395
2012-04-25,2625.99,3718.911
2012-04-26,2631.487,3700.028
2012-04-27,2626.157,3664.638
2012-05-02,2683.487,3718.259
2012-05-03,2691.518,3733.816
2012-05-04,2715.879,3758.004
